ALGORITHM, FEATURE_R, FEATURE_L, FEATURE_U, FEATURE_D, FEATURE_F, FEATURE_B, FEATURE_RP, FEATURE_LP, FEATURE_UP, FEATURE_DP, FEATURE_FP, FEATURE_BP, FEATURE_R2, FEATURE_L2, FEATURE_U2, FEATURE_D2, FEATURE_F2, FEATURE_B2, FEATURE_M, FEATURE_MP, FEATURE_M2, FEATURE_REGRIPS, FEATURE_RL_REGRIPS, FEATURE_OVERWORKING, LABEL
D R' F U R2 U D ,0,0,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
D R' F R' U' R F M F ,1,0,0,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,
D R' F U' D' F' U' R L2 ,1,0,0,1,1,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,
D R' F R2 U' D' F R' ,0,0,0,1,2,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,
D R' F M D' F' L ,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,
D R' U' R F R' U' F2 ,1,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,
D R' U' R U2 R2 U' R B ,2,0,0,1,0,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,
D R' U' F U R' U' F ,0,0,1,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
D R' U' F M D' F' D2 ,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,
D R' U' R' U' F U D M ,0,0,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
D R' U' D' F D R' D' ,0,0,0,2,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
D R' U' F' U F' D R L2 ,1,0,1,2,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,
D R' U' R2 U R' U D M' ,0,0,2,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,
D R' U' M D R U R F2 ,2,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,
D R' U' M F' D' U2 R' ,0,0,0,1,0,0,2,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,
D R' D' R U2 R' U' R L2 ,2,0,0,1,0,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,
D R' D' R' D M D' R ,1,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
D R' D' F' U2 R D' B ,1,0,0,1,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
D R' D' M D F B' ,0,0,0,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,0,0,
D R' F' U D R U' R D ,2,0,1,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
D R' F' D U' R U' D M2 ,1,0,0,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,
D R' F' U' F' U R B' ,1,0,1,1,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,
D R' F' U2 R D R U B' ,2,0,1,2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,
D R' F' M F' U2 L2 ,0,0,0,1,0,0,1,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,1,1,
D R' U2 D R' U M B ,0,0,1,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,
D R' U2 R' F U R2 D2 ,0,0,1,1,1,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,
D R' U2 F' M D' F D ,0,0,0,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,
D R' D2 F U R F' ,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,
D U' R U D M U R' ,1,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
D U' R U D' R' F' M F2 ,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,
D U' R D R' F' R U L ,2,1,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
D U' R F R' U' R' F U ,1,0,1,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
D U' R U' F R U M U' ,2,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,
D U' R U' D' R' U R' L ,1,1,1,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
D U' R D' R' D R F' ,2,0,0,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
D U' R U2 R' F R U R' ,2,0,1,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
D U' F R U' R' F' D M' ,1,0,0,2,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
D U' F U D' F' R L' ,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
D U' F R' U R' D' F ,0,0,1,1,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
D U' F U' R F R' U L ,1,1,1,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,
D U' F U' M U' F' R U' ,1,0,0,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,
D U' F U2 R U' R U L ,2,1,1,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
D U' F M D' R2 U2 ,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,
D U' R' U F U' R2 U D ,0,0,2,2,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
D U' R' U F' U' F U2 R ,1,0,1,1,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,
D U' R' D F U' R' F' R2 ,0,0,0,2,1,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,
D U' R' F R F R' U M ,1,0,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,
D U' R' F R2 D' U2 F2 ,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,3,0,0,
D U' R' U' F D' M U' M' ,0,0,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,
D U' R' U' F' U' R L ,1,1,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,
D U' R' D' U R2 D' B' ,0,0,1,1,0,0,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
D U' R' F' U R D' M U2 ,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,
D U' R' U2 D2 R2 B ,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,
D U' F' U D' M B' ,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,
D U' F' R' U' R2 B2 ,0,0,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,
D U' F' U' M D R L' ,1,0,0,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,
D U' F' U2 R D' R' B2 ,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,3,0,0,
D U' F' M2 U' F2 ,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,
D U' R2 D R U2 L2 ,1,0,0,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,
D U' R2 U' F D R' D2 ,0,0,0,2,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,3,0,2,
D U' R2 F' U D' B ,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
D U' B2 R' F' ,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
D U' M U R' U' F U B ,0,0,2,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,
D U' M D F U2 R' L2 ,0,0,0,2,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,3,1,0,
D U' M F U' R' U F' D' ,0,0,1,1,1,0,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,
D U' M U' R' U' R D B2 ,1,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,
D U' M D' R F U' R B' ,2,0,0,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,6,0,0,
D U' M F' U' F' U' D' L2 ,0,0,0,1,0,0,0,0,3,1,2,0,0,1,0,0,0,0,1,0,0,0,1,2,
D U' M2 U' F' U M2 ,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,
D F' R U D2 R' D ,1,0,1,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
D F' R F R' D R U' B ,2,0,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,
D F' R U' D' R U' D' L2 ,2,0,0,1,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,
D F' R U2 F D R' F ,1,0,0,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,
D F' U R U' F R U' ,2,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,
D F' U F R U' R' U D ,1,0,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
D F' U F' U2 F R ,1,0,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,
D F' U M F' R2 D' ,0,0,1,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,
D F' U' R U R U F M2 ,2,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,
D F' U' R D' R' U' F' R ,2,0,0,1,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
D F' U' D' R D' R' U' B' ,1,0,0,1,0,0,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,3,0,1,
D F' U' R2 U' R2 U2 B ,0,0,0,1,0,1,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,
D F' D' R U F R' U2 ,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,6,0,0,
D F' D' R2 D' U2 R ,1,0,0,1,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,
D F' R2 D M U' F ,0,0,0,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,
D F' U2 R U' R' F U R ,2,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
D F' U2 M D' F U' D' ,0,0,0,1,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,
D F' M D U' F U2 F2 ,0,0,0,2,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,
D F' M D' F2 M' ,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
D R2 U R U R D L2 ,2,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,
D R2 U F U' R U2 L ,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,
D R2 U D' R2 U F' D2 ,0,0,2,1,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,
D R2 U M D' U M D2 ,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,
D R2 F R F U2 B' ,1,0,0,1,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,6,0,1,
D R2 F U' R' F M U2 ,0,0,0,1,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,
D R2 U' R U M U' ,1,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
D R2 U' F U2 R U' M' ,1,0,0,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,
D R2 U' F' R U' R F2 ,2,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,
D R2 U' M U' F' R2 F ,0,0,0,1,1,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,2,
D R2 D' R' U2 F U M2 ,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,3,0,0,
D R2 F' U M F ,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,
D R2 B' M U' L' ,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,
D R2 U2 R2 U' R' U' M ,0,0,0,1,0,0,1,0,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,
D U2 R U R' U D' R F2 ,2,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3,0,0,
D U2 R F R' U R' F' U' ,1,0,1,1,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,
D U2 R U' M D' R' ,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
D U2 F R F U2 B2 ,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,6,0,1,
D U2 F R' U' R' F' R ,1,0,0,1,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,
D U2 F U2 R' U' F B' ,0,0,0,1,2,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,6,0,0,
D U2 R' U D' M F' B' ,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,3,0,0,
D U2 R' F R' U' R U D2 ,1,0,1,1,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,
D U2 R' U' F' M D F ,0,0,0,2,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,
D U2 R' U2 M U' D2 ,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,
D U2 F' U' R2 U2 L2 ,0,0,0,1,0,0,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,1,0,
D U2 R2 U D' R' D' ,0,0,1,1,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,
D U2 F2 U' F' U M ,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,
D U2 M F D R U B ,1,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,
D U2 M F' U F U2 ,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,
D F2 U' F M U M' ,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,
D B2 F R' F U L ,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,1,
D B2 M U' R' U R' B' ,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,
D M U R D' R U D' M2 ,2,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
D M U F D M F' M2 ,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,
D M U R' D M U R F ,1,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,
D M U D' R U R D' F' ,2,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
D M U F' U2 M F B' ,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,3,0,0,
D M U M U' D' R' U' L' ,0,0,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,
D M D U2 F' R2 L2 ,0,0,0,2,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,
D M F U R' D M U' ,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,
D M F R' U' D' R' U' L2 ,0,0,0,1,1,0,2,0,2,1,0,0,0,1,0,0,0,0,1,0,0,3,1,0,
D M F D' F U2 B ,0,0,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,0,1,
D M U' R U F D' R F2 ,2,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,6,0,0,
D M U' R U2 R U R' B2 ,2,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,
D M U' F U' F R' D2 ,0,0,0,1,2,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,3,0,2,
D M U' R' F U' R U D' ,1,0,1,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
D M U' D' F U R' U' R ,1,0,1,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,
D M U' F' U2 R U R U ,2,0,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,
D M U' M U F' U' L2 ,0,0,1,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,2,0,0,0,1,1,
D M D' U M D' R U2 ,1,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,
D M D' R' F' R U' L' ,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,
D M D' U2 M D' M2 ,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,
D M F' D M U' D L' ,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,
D M F' R2 U' R2 B2 ,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,
D M U2 D R' U' D B' ,0,0,0,3,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,
D M U2 F' R D' M B' ,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,
D M D2 R2 D' ,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,
D M' U2 M U' L ,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,
F R U R D M U B' ,2,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,
F R U R U2 B2 D' ,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
F R U F R U' R' U D2 ,2,0,2,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,
F R U F D' R' U' F' U ,1,0,2,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,
F R U R' D F M U L' ,1,0,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,
F R U R' U' R' U F L2 ,1,0,2,0,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,
F R U R' U2 R' F' U L' ,1,0,2,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,
F R U D' R2 D F U' ,1,0,1,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,
F R U D2 R D M' ,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,
F R U M U' R U' R' U' M ,2,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,
F R D R U' F M U B ,2,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,
F R D R' U F' U D' M2 ,1,0,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
F R D U' R U' F U' L2 ,2,0,0,1,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3,1,2,
F R D R2 D' F' U ,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,
F R D M U2 F M D ,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,
F R F R' D' R' U B' ,1,0,1,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0,1,
F R F M D' R' U' R ,2,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6,0,1,
F R U' R U' R' U F U ,2,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,
F R U' F U R' D' F M2 ,1,0,1,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,
F R U' F U2 R' U' F' L' ,1,0,0,0,2,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,6,1,0,
F R U' R' D R' F' U' L ,1,1,0,1,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,
F R U' R' U' R' U' R D' L' ,2,0,0,0,1,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,
F R U' R' U2 F' D' L2 ,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,
F R U' D' B2 R' L2 ,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,3,1,0,
F R U' D2 F R2 B2 ,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,
F R U' M B M2 ,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,
F R D' R F U D' L2 ,2,0,1,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,1,0,
F R D' F U' R' D' M2 ,1,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,6,0,0,
F R D' R' U' R D' R F' ,3,0,0,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
F R D' R2 F' U' R D' ,2,0,0,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,3,0,0,
F R D' M U' R' F' U' F ,1,0,0,0,2,0,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,
F R U2 F D U' R D' ,2,0,0,1,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,
F R U2 R' U' R D' R' F ,2,0,0,0,2,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
F R U2 B2 U M B ,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,
F R D2 R2 F' R ,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3,0,0,
F U R U F D R D2 ,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,
F U R U R2 D' F' R2 ,1,0,2,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,0,0,
F U R D U' R' U' R D' ,2,0,1,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
F U R F R' U' R2 F' ,1,0,1,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,
F U R U' R F R' U R' L' ,2,0,2,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,
F U R U' R' F R' U2 B2 ,1,0,1,0,2,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,
F U R U' M U D F' ,1,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
F U R D' R' U' M F D ,1,0,1,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
F U R U2 R' D R' F' D' ,1,0,1,1,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,
F U D R U' F U M F ,1,0,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,
F U D R' U F' R2 D2 ,0,0,2,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3,0,0,
F U D F' U M U' L ,0,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,
F U D M F U D R2 ,0,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
F U F D R' U R' F2 ,0,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,
F U F D' M F' R2 ,0,0,1,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,
F U R' U R U2 F R D' ,2,0,2,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0,
F U R' U D' R' D U' F' ,0,0,2,1,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,
F U R' D R U2 R U ,2,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,
F U R' D U2 F' M D ,0,0,1,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,
F U R' F U' R U2 M U' ,1,0,1,0,2,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,
F U R' U' R F U2 R U' ,2,0,1,0,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,
F U R' U' R' F L ,0,1,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,
F U R' U' F' D' U2 F' D2 ,0,0,1,0,1,0,1,0,1,1,2,0,0,0,1,1,0,0,0,0,0,3,0,0,
F U R' D' R D' R' F ,1,0,1,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,
F U R' D' U2 M F' B' ,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,6,0,0,
F U R' U2 F' U' M F' B ,0,0,1,0,1,1,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,6,0,0,
F U D' R U' R F U' R ,3,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
F U D' F U' F U R' L2 ,0,0,2,0,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,1,1,
F U D' R' U' R' U2 F' U' ,0,0,1,0,1,0,2,0,2,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,
F U D' F' M U F U ,0,0,3,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
F U D' M U' R' U' F' D2 ,0,0,1,0,1,0,1,0,2,1,1,0,0,0,0,1,0,0,1,0,0,3,0,1,
F U F' U' M U' F' R2 ,0,0,1,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,2,
F U R2 U R' D U' R' U ,0,0,3,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
